text,label
一一对应,"['NA', 'NA', 'NA', 'yìng']"
一呼百应,"['NA', 'NA', 'NA', 'yìng']"
一多对应,"['NA', 'NA', 'NA', 'yìng']"
一致性效应,"['NA', 'NA', 'NA', 'NA', 'yìng']"
伴随效应,"['NA', 'NA', 'NA', 'yìng']"
位置效应,"['NA', 'NA', 'NA', 'yìng']"
何应钦,"['NA', 'yìng', 'NA']"
偶联反应,"['NA', 'NA', 'NA', 'yìng']"
剪应力,"['NA', 'yìng', 'NA']"
光感应,"['NA', 'NA', 'yìng']"
光电效应,"['NA', 'NA', 'NA', 'yìng']"
免疫反应,"['NA', 'NA', 'NA', 'yìng']"
反应,"['NA', 'yìng']"
反应式,"['NA', 'yìng', 'NA']"
反应锅,"['NA', 'yìng', 'NA']"
变态反应,"['NA', 'NA', 'NA', 'yìng']"
口不应心,"['NA', 'NA', 'yìng', 'NA']"
叩应,"['NA', 'yìng']"
启应祈祷,"['NA', 'yìng', 'NA', 'NA']"
呼应,"['NA', 'yìng']"
响应,"['NA', 'yìng']"
商业应用,"['NA', 'NA', 'yìng', 'NA']"
回应,"['NA', 'yìng']"
因应,"['NA', 'yìng']"
壁效应,"['NA', 'NA', 'yìng']"
天人感应,"['NA', 'NA', 'NA', 'yìng']"
公园小径效应,"['NA', 'NA', 'NA', 'NA', 'NA', 'yìng']"
实际应用,"['NA', 'NA', 'yìng', 'NA']"
客户应用,"['NA', 'NA', 'yìng', 'NA']"
对应,"['NA', 'yìng']"
应举,"['yìng', 'NA']"
应付,"['yìng', 'NA']"
应付自如,"['yìng', 'NA', 'NA', 'NA']"
应付裕如,"['yìng', 'NA', 'NA', 'NA']"
应制,"['yìng', 'NA']"
应力,"['yìng', 'NA']"
应卯,"['yìng', 'NA']"
应变,"['yìng', 'NA']"
应变力,"['yìng', 'NA', 'NA']"
应声,"['yìng', 'NA']"
应天承运,"['yìng', 'NA', 'NA', 'NA']"
应天顺时,"['yìng', 'NA', 'NA', 'NA']"
应对,"['yìng', 'NA']"
应对如流,"['yìng', 'NA', 'NA', 'NA']"
应征,"['yìng', 'NA']"
应急,"['yìng', 'NA']"
应急出口,"['yìng', 'NA', 'NA', 'NA']"
应急措施,"['yìng', 'NA', 'NA', 'NA']"
应战,"['yìng', 'NA']"
应手,"['yìng', 'NA']"
应报,"['yìng', 'NA']"
应接,"['yìng', 'NA']"
应接不暇,"['yìng', 'NA', 'NA', 'NA']"
应敌,"['yìng', 'NA']"
应时,"['yìng', 'NA']"
应景,"['yìng', 'NA']"
应景儿,"['yìng', 'NA', 'NA']"
应机立断,"['yìng', 'NA', 'NA', 'NA']"
应点,"['yìng', 'NA']"
应用,"['yìng', 'NA']"
应用层,"['yìng', 'NA', 'NA']"
应用文,"['yìng', 'NA', 'NA']"
应用物理,"['yìng', 'NA', 'NA', 'NA']"
应用科学,"['yìng', 'NA', 'NA', 'NA']"
应用程式,"['yìng', 'NA', 'NA', 'NA']"
应用程式介面,"['yìng', 'NA', 'NA', 'NA', 'NA', 'NA']"
应用软件,"['yìng', 'NA', 'NA', 'NA']"
应考,"['yìng', 'NA']"
应聘,"['yìng', 'NA']"
应聘者,"['yìng', 'NA', 'NA']"
应诊,"['yìng', 'NA']"
应诏,"['yìng', 'NA']"
应试,"['yìng', 'NA']"
应诺,"['yìng', 'NA']"
应运,"['yìng', 'NA']"
应运而生,"['yìng', 'NA', 'NA', 'NA']"
应邀,"['yìng', 'NA']"
应门,"['yìng', 'NA']"
应验,"['yìng', 'NA']"
应酬,"['yìng', 'NA']"
心灵感应,"['NA', 'NA', 'NA', 'yìng']"
心电感应,"['NA', 'NA', 'NA', 'yìng']"
必应,"['NA', 'yìng']"
感应,"['NA', 'yìng']"
感应器,"['NA', 'yìng', 'NA']"
扣应,"['NA', 'yìng']"
承应,"['NA', 'yìng']"
报应,"['NA', 'yìng']"
报应不爽,"['NA', 'yìng', 'NA', 'NA']"
接应,"['NA', 'yìng']"
支应,"['NA', 'yìng']"
放热反应,"['NA', 'NA', 'NA', 'yìng']"
效应,"['NA', 'yìng']"
杀手级应用,"['NA', 'NA', 'NA', 'yìng', 'NA']"
条件反应,"['NA', 'NA', 'NA', 'yìng']"
氧效应,"['NA', 'NA', 'yìng']"
温室效应,"['NA', 'NA', 'NA', 'yìng']"
溢出效应,"['NA', 'NA', 'NA', 'yìng']"
满口应承,"['NA', 'NA', 'yìng', 'NA']"
漫应,"['NA', 'yìng']"
炎性反应,"['NA', 'NA', 'NA', 'yìng']"
热岛效应,"['NA', 'NA', 'NA', 'yìng']"
生物反应器,"['NA', 'NA', 'NA', 'yìng', 'NA']"
电磁感应,"['NA', 'NA', 'NA', 'yìng']"
一应,"['NA', 'yīng']"
反应时,"['NA', 'yīng', 'NA']"
宝应,"['NA', 'yīng']"
宝应县,"['NA', 'yīng', 'NA']"
应仁之乱,"['yīng', 'NA', 'NA', 'NA']"
应付帐款,"['yīng', 'NA', 'NA', 'NA']"
应县,"['yīng', 'NA']"
应名,"['yīng', 'NA']"
应名儿,"['yīng', 'NA', 'NA']"
应城,"['yīng', 'NA']"
应声虫,"['yīng', 'NA', 'NA']"
应届,"['yīng', 'NA']"
应届毕业生,"['yīng', 'NA', 'NA', 'NA', 'NA']"
应急状态,"['yīng', 'NA', 'NA', 'NA']"
应急照射,"['yīng', 'NA', 'NA', 'NA']"
应收,"['yīng', 'NA']"
应收帐款,"['yīng', 'NA', 'NA', 'NA']"
应激性,"['yīng', 'NA', 'NA']"
应计,"['yīng', 'NA']"
应计基础,"['yīng', 'NA', 'NA', 'NA']"
应许,"['yīng', 'NA']"
应该,"['yīng', 'NA']"
一丁点,"['NA', 'dīng', 'NA']"
丁丑,"['dīng', 'NA']"
丁二烯,"['dīng', 'NA', 'NA']"
丁二醇,"['dīng', 'NA', 'NA']"
丁亥,"['dīng', 'NA']"
丁冬,"['dīng', 'NA']"
丁内酯,"['dīng', 'NA', 'NA']"
丁加奴,"['dīng', 'NA', 'NA']"
丁克,"['dīng', 'NA']"
丁卯,"['dīng', 'NA']"
丁型肝炎,"['dīng', 'NA', 'NA', 'NA']"
丁基,"['dīng', 'NA']"
丁字,"['dīng', 'NA']"
丁字梁,"['dīng', 'NA', 'NA']"
丁字步,"['dīng', 'NA', 'NA']"
丁字街,"['dīng', 'NA', 'NA']"
丁字裤,"['dīng', 'NA', 'NA']"
丁客,"['dīng', 'NA']"
丁巳,"['dīng', 'NA']"
丁忧,"['dīng', 'NA']"
丁未,"['dīng', 'NA']"
丁汝昌,"['dīng', 'NA', 'NA']"
丁点,"['dīng', 'NA']"
丁烯,"['dīng', 'NA']"
丁烷,"['dīng', 'NA']"
丁玲,"['dīng', 'NA']"
丁磊,"['dīng', 'NA']"
丁糖,"['dīng', 'NA']"
丁艰,"['dīng', 'NA']"
丁醇,"['dīng', 'NA']"
丁醛,"['dīng', 'NA']"
丁酉,"['dīng', 'NA']"
丁青,"['dīng', 'NA']"
丁青县,"['dīng', 'NA', 'NA']"
丁韪良,"['dīng', 'NA', 'NA']"
丁香,"['dīng', 'NA']"
丁鱥,"['dīng', 'NA']"
丁鲷,"['dīng', 'NA']"
不知丁董,"['NA', 'NA', 'dīng', 'NA']"
二丁醚,"['NA', 'dīng', 'NA']"
亚丁,"['NA', 'dīng']"
亚丁湾,"['NA', 'dīng', 'NA']"
人丁,"['NA', 'dīng']"
付之丙丁,"['NA', 'NA', 'NA', 'dīng']"
但丁,"['NA', 'dīng']"
冷不丁,"['NA', 'NA', 'dīng']"
凡尔丁,"['NA', 'NA', 'dīng']"
园丁,"['NA', 'dīng']"
圣奥古斯丁,"['NA', 'NA', 'NA', 'NA', 'dīng']"
垦丁,"['NA', 'dīng']"
壮丁,"['NA', 'dīng']"
奥丁,"['NA', 'dīng']"
奥丁谐振器,"['NA', 'dīng', 'NA', 'NA', 'NA']"
奥斯丁,"['NA', 'NA', 'dīng']"
孤苦零丁,"['NA', 'NA', 'NA', 'dīng']"
宫保鸡丁,"['NA', 'NA', 'NA', 'dīng']"
宫爆肉丁,"['NA', 'NA', 'NA', 'dīng']"
宫爆鸡丁,"['NA', 'NA', 'NA', 'dīng']"
尼古丁,"['NA', 'NA', 'dīng']"
布丁,"['NA', 'dīng']"
异丁烷,"['NA', 'dīng', 'NA']"
